,open,high,low,close,volume
2021-06-02,2389.1500,2393.6400,2352.3550,2370.5900,1058146
2021-06-03,2345.7300,2357.0150,2329.5200,2347.5800,934796
2021-06-04,2369.2700,2399.0300,2362.4100,2393.5700,1222910
2021-06-07,2389.4360,2404.5099,2381.0000,2402.3000,1205966
2021-06-08,2412.0100,2419.5202,2394.7800,2398.4400,1211992
2021-06-09,2411.4300,2412.8800,2396.9000,2407.9400,897052
2021-06-10,2406.9200,2436.0000,2403.7800,2435.1300,1295375
2021-06-11,2440.0000,2441.7200,2418.9600,2430.2000,1097907
2021-06-14,2432.2600,2448.9200,2418.0000,2448.9100,1104878
2021-06-15,2449.0000,2455.5100,2421.1200,2428.3900,1078107
2021-06-16,2431.4400,2437.7200,2389.4000,2415.4500,1316557
2021-06-17,2413.9500,2450.4500,2410.0000,2434.8700,1292444
2021-06-18,2427.3400,2432.0600,2400.3000,2402.2200,2305760
2021-06-21,2410.0100,2440.0000,2397.9700,2436.2500,1370683
2021-06-22,2435.0000,2448.0000,2421.2800,2446.6100,1119510
2021-06-23,2441.8700,2461.9100,2436.6900,2442.5400,957708
2021-06-24,2454.0000,2461.1107,2446.0000,2450.0000,1068257
2021-06-25,2440.0000,2452.6600,2431.3050,2450.1700,1729819
2021-06-28,2453.5700,2455.6950,2428.1101,2450.7200,1426271
2021-06-29,2453.4071,2460.4150,2433.8150,2445.4500,1155436
2021-06-30,2439.8900,2445.1400,2427.0900,2441.7900,1223699
2021-07-01,2434.5000,2451.7400,2430.6300,2448.8900,905641
2021-07-02,2463.0000,2508.0800,2461.1900,2505.1500,1300109
2021-07-06,2512.9700,2528.5600,2491.6501,2523.8000,1320179
2021-07-07,2543.2400,2545.6800,2523.0600,2529.4800,1202951
2021-07-08,2480.5200,2511.9100,2480.4400,2500.8800,1189467
2021-07-09,2500.5000,2514.6900,2491.0250,2510.3700,931584
2021-07-12,2523.5600,2541.3888,2512.2150,2539.5100,883389
2021-07-13,2540.7700,2561.1500,2533.4900,2546.8300,962347
2021-07-14,2559.1600,2586.5266,2558.2892,2564.7400,1187283
2021-07-15,2572.9800,2574.0000,2530.6000,2540.1000,1210940
