,open,high,low,close,volume
2021-06-25,66.0156,66.0407,64.6588,65.1362,2105482
2021-06-28,64.6588,65.1948,63.4276,63.6202,2405175
2021-06-29,63.5700,64.4159,63.4862,63.8882,1710337
2021-06-30,63.6537,63.9385,62.3137,63.0674,2659233
2021-07-01,63.4527,64.0976,63.1344,63.6454,1828664
2021-07-02,63.7877,64.3656,63.6537,63.8464,1687141
2021-07-05,63.5616,63.9385,62.7576,63.5783,1405803
2021-07-06,63.6035,63.6035,60.8312,61.0657,3071780
2021-07-07,61.2165,61.6352,59.4911,60.6386,3735118
2021-07-08,60.1444,60.1444,58.4107,59.2398,3639721
2021-07-09,59.9183,61.1830,59.4157,61.0490,3270953
2021-07-12,60.8731,62.0540,59.6670,61.3588,2701598
2021-07-13,61.5599,61.7776,60.8563,61.1495,1992656
2021-07-14,61.2248,62.0959,60.8982,61.5599,1654743
2021-07-15,62.3974,62.6654,60.9736,61.2918,2509125
2021-07-16,61.8614,61.8614,59.9183,60.0690,2159369
2021-07-19,59.4660,59.6167,57.5396,58.3185,3383079
2021-07-20,58.6284,59.1393,57.9081,58.6871,2787089
2021-07-21,57.1795,60.0690,56.3419,59.3320,3891095
2021-07-22,59.9350,60.8228,59.7843,59.7843,2431737
2021-07-23,60.7223,63.5281,60.6637,63.0423,4680515
2021-07-26,62.5733,63.2936,61.6520,63.1931,2348512
2021-07-27,62.8664,62.8664,61.7776,61.9870,2366891
2021-07-28,62.1629,62.5733,61.8027,62.0289,1630296
2021-07-29,62.1461,63.8464,61.7944,63.7794,2650757
2021-07-30,63.0339,63.3355,62.3388,63.0507,2770730
2021-08-02,64.0306,64.8598,63.7124,64.0223,2269023
2021-08-03,64.0725,64.2316,62.9251,63.4443,1720917
2021-08-04,63.6537,64.2903,63.3606,63.6035,1838038
2021-08-05,63.3271,63.5867,62.4393,63.1596,1680167
2021-08-06,63.0758,64.4997,62.8078,63.6789,1671621
2021-08-09,62.6235,63.2517,62.2215,62.4644,1874421
2021-08-10,62.2215,62.5900,61.9535,62.3472,1303289
2021-08-11,62.3890,62.9586,61.8614,62.7157,1684486
2021-08-12,62.7994,63.6119,62.5649,63.3271,1932574
2021-08-13,63.4862,63.8212,63.1512,63.3522,1329631
2021-08-16,62.6738,62.8581,61.9451,62.1880,1814871
2021-08-17,61.7609,61.8530,60.9233,60.9401,2136646
